CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
19.6	pi0	2	39.9189	2.63151	85.2456	5.58591	225	9
19.6	pi0	3	26.8225	1.91858	57.8827	4.45363	158	10
19.6	pi0	4	17.7704	1.26519	38.8496	2.96097	108	11
19.6	pi0	5	11.0704	0.705549	24.5766	1.50488	71	10
19.6	pi0	6	7.0449	0.393419	17.0522	0.780437	44	9
19.6	pi0	7	3.70459	0.231466	8.70778	0.514055	26	7
19.6	pi0	8	1.94979	0.122298	4.74562	0.283709	14	5
19.6	eta	0	7.74868	10.848	8.31075	11.5682	338	2
19.6	eta	1	6.20554	8.62706	6.66363	9.18059	289	6
19.6	eta	2	4.72812	6.57511	5.07671	6.99769	225	9
19.6	eta	3	3.14019	4.36557	3.38921	4.66554	158	10
19.6	eta	4	2.0453	2.83019	2.22247	3.04095	108	11
19.6	eta	5	1.24987	1.88864	1.36905	2.13449	71	10
19.6	eta	6	0.587738	0.822016	0.650385	0.903206	35.2	7.2
19.6	eta	7	0.390724	0.538895	0.437387	0.595774	26	7
19.6	eta	8	0.197157	0.270504	0.2249	0.303642	14	5
27	pi-	0	72.2018	4.51306	150.222	8.78532	343	2
27	pi-	1	60.0072	4.22614	126.469	9.38798	299	6
27	pi-	2	44.7911	3.24533	93.4589	7.31986	234	9
27	pi-	3	30.1365	2.12471	62.846	4.64565	166	11
27	pi-	4	19.791	1.41691	41.7633	3.19866	114	11
27	pi-	5	12.3031	0.865357	26.3351	1.93913	75	10
27	pi-	6	7.3836	0.518306	16.3021	1.1934	47	9
27	pi-	7	4.07276	0.266962	9.20791	0.600206	27	8
27	pi-	8	2.02996	0.127552	4.7656	0.284124	14	6
27	pi+	0	70.6228	4.52474	145.221	8.93578	343	2
27	pi+	1	58.9208	3.92158	122.721	8.19235	299	6
27	pi+	2	44.2082	2.92541	91.7114	6.03884	234	9
27	pi+	3	29.9153	2.1747	62.6881	4.94177	166	11
27	pi+	4	19.7476	1.41783	41.8777	3.22968	114	11
27	pi+	5	12.1768	0.776982	26.0429	1.58987	75	10
27	pi+	6	7.20409	0.644789	15.698	1.73545	47	9
27	pi+	7	4.02132	0.359434	9.07663	0.986326	27	8
27	pi+	8	1.96197	0.148368	4.54573	0.374421	14	6
27	ka-	0	13.1632	0.80393	15.3905	0.916617	343	2
27	ka-	1	10.8564	0.709901	12.7288	0.840675	299	6
27	ka-	2	8.30039	0.506103	9.78757	0.581914	234	9
27	ka-	3	5.60862	0.345658	6.65906	0.401822	166	11
27	ka-	4	3.50733	0.21591	4.18816	0.252566	114	11
27	ka-	5	2.12336	0.144383	2.58092	0.180822	75	10
27	ka-	6	1.169	0.0899854	1.43607	0.119773	47	9
27	ka-	7	0.579247	0.0388367	0.723275	0.04961	27	8
27	ka-	8	0.259956	0.0182816	0.329269	0.0238178	14	6
27	ka+	0	18.6194	1.14833	21.3369	1.28565	343	2
27	ka+	1	15.3308	0.945433	17.6577	1.06406	299	6
27	ka+	2	11.4852	0.733164	13.2664	0.845172	234	9
27	ka+	3	7.61135	0.463993	8.84577	0.522962	166	11
27	ka+	4	4.79477	0.297357	5.63904	0.342401	114	11
27	ka+	5	2.92075	0.20077	3.50482	0.249	75	10
27	ka+	6	1.59784	0.106082	1.93731	0.131105	47	9
