CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	ka-	7	0.49368	0.67265	0.0702891	0.0852726	0.0129635	9.30755	9.07303	909.214	1059.88	0.124491	0.0101067	0.0116754	0.000856576	0.00037523	0.000164172	0.136541	0.0111274	0.172979	0.0137228	0.0338872	0.00270156	0.000392821	0.00017092	0.207259	0.0165953	0.162181	0.0126701	0.021647	0.00160334	0.0002233	0.000164172	0.184052	0.0144376	0.233958	0.0179485	0.021647	0.00160334	0.0002233	9.14512e-05	0.255828	0.0196433	26	7
7.7	ka-	8	0.49368	0.995442	0.288312	0.0968874	0.00352592	79.8096	36.5698	151.678	41.9534	0.0497741	0.0051107	0.00474332	0.000260228	0.00131577	0.00211763	0.0558332	0.00748856	0.0700409	0.0069851	0.0136979	0.000782985	0.0013583	0.00214523	0.085097	0.00991331	0.0664352	0.00652752	0.00878952	0.000484494	0.00062074	0.00211763	0.0758454	0.00912964	0.0965796	0.00926281	0.00878952	0.000484494	0.00062074	0.000673112	0.10599	0.0104204	14	4
7.7	ka+	0	0.49368	0.677935	0.0148633	0.0931665	0.00564957	2.88385	0.346569	24737.1	10345.5	11.2534	0.711921	0.494417	0.0107369	0.00844616	0.000777962	11.7562	0.723435	14.4318	0.908352	1.40788	0.0306254	0.00865385	0.000796046	15.8483	0.939774	12.8549	0.799649	0.91467	0.0198658	0.00370927	0.000777962	13.7733	0.820293	17.2593	1.0718	0.91467	0.0198658	0.00370927	0.000331896	18.1776	1.092	337	2
7.7	ka+	1	0.49368	0.73921	0.035445	0.075766	0.00968226	2.89942	0.23404	103028	109829	9.08917	0.569212	0.462132	0.0302805	0.00833569	0.000884096	9.55964	0.600377	11.7284	0.730913	1.3297	0.0955781	0.00856289	0.000906814	13.0667	0.827398	10.4973	0.646526	0.855938	0.0566819	0.00384698	0.000884096	11.3571	0.704092	14.1781	0.872165	0.855938	0.0566819	0.00384698	0.000395889	15.0379	0.929243	290	6
7.7	ka+	2	0.49368	0.773594	0.0218881	0.067149	0.00637448	3.27974	0.224114	223094	196268	6.45073	0.400533	0.377008	0.0248862	0.00549682	0.000487774	6.83323	0.425907	8.37043	0.517528	1.09655	0.0795312	0.00564737	0.000500483	9.47263	0.597559	7.49558	0.458282	0.699114	0.0466465	0.0025432	0.000487774	8.19724	0.505417	10.1948	0.622997	0.699114	0.0466465	0.0025432	0.000220011	10.8964	0.669864	226	8
7.7	ka+	3	0.49368	0.742452	0.0260141	0.0735344	0.00725487	3.48109	0.273127	70316.9	59717.8	4.3149	0.268429	0.259397	0.0162763	0.00331138	0.000323208	4.57761	0.285028	5.64179	0.349475	0.751026	0.0514224	0.00340199	0.000331591	6.39622	0.401229	5.08576	0.311564	0.480782	0.0304698	0.0015313	0.000323208	5.56807	0.342357	6.96319	0.42639	0.480782	0.0304698	0.0015313	0.000145432	7.44551	0.457005	160	10
7.7	ka+	4	0.49368	0.725061	0.0326945	0.0737052	0.00876945	3.25694	0.295401	42439.6	43162.9	2.60092	0.162165	0.159089	0.0102629	0.0025075	0.000274976	2.76252	0.172703	3.41717	0.212241	0.460022	0.0325459	0.00258354	0.000282837	3.87977	0.24507	3.0998	0.190649	0.294822	0.0192207	0.00121787	0.000274976	3.39584	0.210144	4.25753	0.261763	0.294822	0.0192207	0.00121787	0.000129607	4.55357	0.281114	110	11
7.7	ka+	5	0.49368	0.728792	0.0248438	0.0739902	0.00790226	4.0874	0.478067	26056.3	23842.1	1.49308	0.0948244	0.104836	0.00672685	0.00217671	0.000273171	1.6001	0.101824	1.98584	0.125518	0.304491	0.0213426	0.00224956	0.00028171	2.29258	0.147143	1.8121	0.113424	0.194381	0.0125989	0.0011075	0.000273171	2.00759	0.126296	2.51949	0.157499	0.194381	0.0125989	0.0011075	0.000134238	2.71498	0.170232	72	10
7.7	ka+	6	0.49368	0.709656	0.0329506	0.0698227	0.00865196	3.70761	0.407874	24358.7	27012.7	0.794509	0.0525875	0.0610675	0.00425533	0.000713883	9.54403e-05	0.85629	0.0569382	1.0681	0.0701276	0.17788	0.0136693	0.000738208	9.8521e-05	1.24672	0.0838955	0.98245	0.0637923	0.113264	0.0079809	0.000366604	9.54403e-05	1.09608	0.0718686	1.37826	0.0891012	0.113264	0.0079809	0.000366604	4.76869e-05	1.49189	0.0971297	45	9
7.7	ka+	7	0.49368	0.692402	0.0556991	0.0663315	0.0133091	3.34528	0.425548	18135.6	33801.3	0.353372	0.0245789	0.0292383	0.00269433	0.000340623	5.92259e-05	0.382951	0.0273324	0.479941	0.0329966	0.0853384	0.00885078	0.000353736	6.13849e-05	0.565633	0.0419088	0.444913	0.0302043	0.0542411	0.0050662	0.000185361	5.92259e-05	0.499339	0.0353297	0.62924	0.0423997	0.0542411	0.0050662	0.000185361	3.1359e-05	0.683666	0.0474972	26	7
