CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr	fitStatus
19.6	ala	2	1.11568	0.405034	0.0106875	0.152884	0.00141792	0.976374	0.144471	935.911	76.3651	1.79112	0.055885	0.0729179	0.00176565	3.71748e-07	3.15392e-08	1.86403	0.0576507	2.75865	0.0922473	0.232801	0.00588559	3.81101e-07	3.23247e-08	2.99145	0.098133	0.657128	0.0208188	0.0314911	0.000764072	6.00538e-08	3.15392e-08	0.688619	0.0215829	1.03752	0.0354704	0.0314911	0.000764072	6.00538e-08	5.07327e-09	1.06901	0.0362345	225	9	1
19.6	ala	3	1.11568	0.630205	0.0380841	0.0987721	0.00947478	2.35126	0.387764	85649.8	109719	1.2572	0.0445578	0.0669179	0.00563039	4.15558e-09	3.75329e-10	1.32412	0.0501882	1.96916	0.0741096	0.219373	0.0208889	4.2372e-09	3.8261e-10	2.18853	0.0949985	0.465979	0.0167195	0.0289361	0.00244864	6.0818e-10	3.75329e-10	0.494915	0.0191681	0.74731	0.0286396	0.0289361	0.00244864	6.0818e-10	5.46467e-11	0.776246	0.0310882	158	10	1
19.6	ala	4	1.11568	0.751961	0.502464	0.01	1.41421	0.01	1.41421	10000	1.41421	0.841942	0.0389066	9.14925e-54	4.06135e-25	1.88462e-84	1.22295e-39	0.841942	0.0389066	1.35814	0.0676512	1.98561e-53	9.03811e-25	1.93651e-84	1.25619e-39	1.35814	0.0676512	0.316007	0.0148426	3.85516e-54	1.71649e-25	3.15816e-85	1.22295e-39	0.316007	0.0148426	0.521881	0.0265622	3.85516e-54	1.71649e-25	3.15816e-85	2.03883e-40	0.521881	0.0265622	108	11	1
19.6	ala	5	1.11568	0.583552	0.0354948	0.108732	0.00977208	4.23292	0.400197	11034.3	12242.9	0.413135	0.0192894	0.0314333	0.00235366	2.02592e-08	4.23476e-09	0.444568	0.0216431	0.68169	0.0338113	0.104317	0.00862895	2.07772e-08	4.3425e-09	0.786007	0.0424403	0.156848	0.0074069	0.0135988	0.00102296	3.29413e-09	4.23476e-09	0.170446	0.00842986	0.264594	0.0133342	0.0135988	0.00102296	3.29413e-09	6.8718e-10	0.278193	0.0143571	58	44	1
19.6	ala	6	1.11568	0.557866	0.0727045	0.103026	0.0237552	6.19906	1.20627	6747.29	20254.7	0.108086	0.00715972	0.0106687	0.00201475	8.98559e-09	6.51898e-09	0.118754	0.00917448	0.189089	0.0134048	0.0359968	0.00758059	9.27176e-09	6.72545e-09	0.225085	0.0209854	0.042041	0.00281782	0.00461926	0.000876733	1.59106e-09	6.51898e-09	0.0466603	0.00369456	0.0750028	0.0053994	0.00461926	0.000876733	1.59106e-09	1.15177e-09	0.0796221	0.00627613	20	14	1
19.6	la_	0	1.11568	0.492418	0.130458	0.142232	0.030643	1.85559	0.460487	20436.9	42182.7	3.40038	0.107658	0.0302433	0.00158491	2.87727e-07	5.10089e-08	3.43063	0.109243	4.65541	0.150288	0.0800543	0.00439073	2.93302e-07	5.19901e-08	4.73547	0.154679	6.94126	0.240542	0.364132	0.0214715	6.20519e-08	5.10089e-08	7.30539	0.262013	10.9729	0.40634	0.364132	0.0214715	6.20519e-08	1.09515e-08	11.337	0.427812	338	2	1
19.6	la_	1	1.11568	0.52857	0.0610029	0.132583	0.0139805	1.88979	0.315519	32148.8	34606.2	2.69624	0.0959979	0.0240848	0.00104941	1.88295e-07	2.08164e-08	2.72033	0.0970473	3.69577	0.133809	0.0637843	0.00289731	1.9195e-07	2.12181e-08	3.75955	0.136706	5.53211	0.213614	0.290375	0.0141018	4.06472e-08	2.08164e-08	5.82248	0.227716	8.77246	0.361457	0.290375	0.0141018	4.06472e-08	4.47766e-09	9.06284	0.375559	289	6	1
19.6	la_	2	1.11568	0.535838	0.0423701	0.133824	0.0104175	2.46883	0.224219	23240.5	18451.5	1.98094	0.0552602	0.0196121	0.000738705	1.67254e-07	1.85732e-08	2.00055	0.0559989	2.73101	0.0773994	0.0520587	0.00204724	1.70496e-07	1.89306e-08	2.78306	0.0794466	4.15677	0.125227	0.237923	0.010022	3.60745e-08	1.85732e-08	4.39469	0.135249	6.64968	0.213296	0.237923	0.010022	3.60745e-08	3.98853e-09	6.8876	0.223318	225	9	1
19.6	la_	3	1.11568	0.565023	0.0379602	0.126974	0.0100104	3.04855	0.255195	26788.2	22659.1	1.2158	0.0402289	0.0136083	0.00063554	9.24186e-08	1.37603e-08	1.22941	0.0408645	1.68995	0.0566866	0.036235	0.00177274	9.42115e-08	1.40256e-08	1.72619	0.0584594	2.62983	0.0932999	0.166466	0.00876528	1.99455e-08	1.37603e-08	2.79629	0.102065	4.24838	0.160495	0.166466	0.00876528	1.99455e-08	2.95797e-09	4.41485	0.16926	158	10	1
19.6	la_	4	1.11568	0.627009	0.0319744	0.108953	0.00900995	4.02112	0.443341	102273	105390	0.727033	0.0305256	0.010168	0.000762349	4.13972e-09	6.87324e-10	0.737201	0.0312879	1.02318	0.0439302	0.0271655	0.00214984	4.20777e-09	6.9865e-10	1.05035	0.0460801	1.65192	0.0767392	0.125761	0.0108239	8.092e-10	6.87324e-10	1.77768	0.0875631	2.73406	0.136875	0.125761	0.0108239	8.092e-10	1.34555e-10	2.85983	0.147699	108	11	1
