Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
1249	-11	0.0251382	0.025133	91
1252	22	0.0350073	0.0350073	91
1255	22	0.527312	0.527312	91
1257	11	0.30883	0.308829	91
1258	22	0.0553877	0.0553877	91
1262	22	0.0261846	0.0261846	91
1262	11	0.00854418	0.00852889	91
1263	22	0.221445	0.221445	91
1264	-11	0.0576062	0.057604	91
1264	22	0.0328804	0.0328804	91
1264	-11	0.0256551	0.0256501	91
1267	11	0.158462	0.158461	91
1267	-11	0.275054	0.275053	91
1267	-11	0.0336007	0.0335968	91
1268	22	0.126678	0.126678	91
1271	22	0.0192507	0.0192507	91
1273	22	0.138515	0.138515	91
1273	22	0.180345	0.180345	91
1273	11	0.315791	0.31579	91
1273	-11	0.10142	0.101418	91
1278	11	0.494001	0.494001	91
1283	22	0.0445551	0.0445551	91
1285	22	0.243825	0.243825	91
1285	22	0.0407994	0.0407994	91
1285	11	0.0602015	0.0601994	91
1286	11	0.0370639	0.0370604	91
1286	-11	0.347413	0.347412	91
1287	22	0.349656	0.349656	91
1290	11	0.0461784	0.0461756	91
1291	22	0.244097	0.244097	91
1291	11	0.0504352	0.0504326	91
1291	22	0.093465	0.093465	91
1292	11	0.0679208	0.0679189	91
1292	-11	0.0611157	0.0611136	91
1293	22	0.243564	0.243564	91
1295	11	0.268557	0.268557	91
1295	-11	0.226307	0.226307	91
1297	22	0.832897	0.832897	91
1299	22	0.192069	0.192069	91
1301	22	0.447201	0.447201	91
1301	-11	0.00436417	0.00433435	91
1301	11	0.00624608	0.00622533	91
1302	11	0.209757	0.209756	91
1306	22	0.134756	0.134756	91
1306	22	0.385391	0.385391	91
1306	-11	0.0457244	0.0457215	91
1308	22	0.313931	0.313931	91
1308	11	0.150501	0.1505	91
1308	-11	0.0459128	0.04591	91
1310	22	0.149408	0.149408	91
