Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
456	11	0.0347292	0.0347255	91
458	-11	0.0136447	0.0136352	91
463	22	0.120073	0.120073	91
464	22	0.0764373	0.0764373	91
464	22	0.251091	0.251091	91
468	22	0.156708	0.156708	91
468	22	0.101376	0.101376	91
468	-11	0.012988	0.012978	91
468	-11	0.107752	0.107751	91
470	-11	0.0141489	0.0141397	91
475	11	0.121331	0.12133	91
479	-11	0.0903222	0.0903207	91
481	-11	0.00670907	0.00668971	91
490	22	0.0187068	0.0187068	91
490	-11	0.0270914	0.0270866	91
490	11	0.230597	0.230596	91
492	11	0.0814144	0.0814128	91
492	-11	0.74052	0.74052	91
492	11	0.0106	0.0105878	91
493	22	0.140634	0.140634	91
493	22	0.0912519	0.0912519	91
493	22	0.041198	0.041198	91
495	22	0.171119	0.171119	91
496	22	0.0563139	0.0563139	91
497	11	0.0422457	0.0422426	91
497	-11	0.193317	0.193317	91
499	11	0.138547	0.138546	91
499	-11	0.00387742	0.00384362	91
505	11	0.0191414	0.0191346	91
507	11	0.0395792	0.0395759	91
509	11	0.0439168	0.0439138	91
509	-11	0.0903274	0.0903259	91
510	22	0.0896962	0.0896962	91
513	22	0.0678973	0.0678973	91
514	22	0.126545	0.126545	91
518	22	0.166817	0.166817	91
518	22	0.0651007	0.0651007	91
518	11	0.0122774	0.0122668	91
519	-11	0.0156865	0.0156783	91
521	-11	0.0370963	0.0370928	91
521	22	0.248649	0.248649	91
521	22	0.110721	0.110721	91
523	22	0.284716	0.284716	91
523	11	0.0651828	0.0651808	91
523	-11	0.0395058	0.0395025	91
523	11	0.168184	0.168183	91
523	11	0.00342405	0.00338602	91
524	22	0.310759	0.310759	91
525	11	0.00754588	0.00752867	91
526	11	0.00234245	0.00228607	91
